CMDLINE /Users/localadmin/miniforge3/envs/splitting_env/bin/python3.9 ./setup_labeled_data.py
MEM 426.265625 1725357530.1731
MEM 426.265625 1725357530.2733
MEM 426.531250 1725357530.3784
MEM 426.843750 1725357530.4834
MEM 402.671875 1725357530.5885
MEM 402.984375 1725357530.6936
MEM 403.406250 1725357530.7960
MEM 403.859375 1725357530.9011
MEM 404.156250 1725357531.0019
MEM 410.375000 1725357531.1069
MEM 411.703125 1725357531.2120
MEM 361.125000 1725357531.3171
MEM 339.468750 1725357531.4224
MEM 339.531250 1725357531.5239
MEM 339.531250 1725357531.6281
MEM 317.906250 1725357531.7332
MEM 317.906250 1725357531.8360
MEM 318.218750 1725357531.9411
MEM 318.546875 1725357532.0440
MEM 318.843750 1725357532.1491
MEM 319.156250 1725357532.2541
MEM 319.468750 1725357532.3591
MEM 319.765625 1725357532.4642
MEM 320.140625 1725357532.5692
MEM 325.859375 1725357532.6743
MEM 329.093750 1725357532.7747
MEM 310.750000 1725357532.8801
MEM 310.750000 1725357532.9813
MEM 310.750000 1725357533.0824
MEM 310.781250 1725357533.1876
MEM 310.781250 1725357533.2926
MEM 310.906250 1725357533.3975
MEM 311.000000 1725357533.5000
MEM 311.265625 1725357533.6050
MEM 311.562500 1725357533.7101
MEM 311.875000 1725357533.8147
MEM 312.218750 1725357533.9197
MEM 312.531250 1725357534.0248
MEM 295.031250 1725357534.1294
MEM 295.484375 1725357534.2345
MEM 295.968750 1725357534.3374
MEM 296.484375 1725357534.4424
MEM 296.781250 1725357534.5425
MEM 288.312500 1725357534.6476
MEM 300.875000 1725357534.7526
MEM 307.140625 1725357534.8578
MEM 307.140625 1725357534.9628
MEM 307.140625 1725357535.0681
MEM 307.140625 1725357535.1733
MEM 307.125000 1725357535.2754
MEM 307.171875 1725357535.3770
MEM 307.328125 1725357535.4787
MEM 307.406250 1725357535.5837
MEM 307.734375 1725357535.6888
MEM 308.062500 1725357535.7938
MEM 308.390625 1725357535.8988
MEM 308.703125 1725357536.0039
MEM 305.109375 1725357536.1089
MEM 305.421875 1725357536.2139
MEM 308.250000 1725357536.3190
MEM 310.656250 1725357536.4228
